device_id: 66309, type: ext4, source: /dev/nvme0n1p5, target: /, root: /, real_device: /dev/nvme0n1p5
device_id: 66306, type: ext4, source: /dev/nvme0n1p2, target: /boot, root: /, real_device: /dev/nvme0n1p2
device_id: 66308, type: ext4, source: /dev/nvme0n1p4, target: /recovery, root: /, real_device: /dev/nvme0n1p4
device_id: 66305, type: vfat, source: /dev/nvme0n1p1, target: /boot/efi, root: /, real_device: /dev/nvme0n1p1
device_id: 2049, type: ext4, source: /dev/sda1, target: /data, root: /, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /var, root: /var, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /opt, root: /opt, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /home, root: /home, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /root, root: /root, real_device: /dev/sda1
-------------------------------
[2024-11-07 09:52:03.267428727] [DEBUG] [Thread 140405665400064] Scanning /data/home/dxnu...
/
/boot
/recovery
/boot/efi
/data
-------------------------------
[2024-11-07 09:52:04.878940806] [DEBUG] [Thread 140405665400064] Record size: 122817
[2024-11-07 09:53:07.362930583] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-115.txt
[2024-11-07 09:53:07.362959473] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-116.txt
[2024-11-07 09:53:07.362989558] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-117.txt
[2024-11-07 09:53:07.363018274] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-118.txt
[2024-11-07 09:53:07.363049310] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-119.txt
[2024-11-07 09:53:07.363144044] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-120.txt
[2024-11-07 09:53:07.372459238] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-121.txt
[2024-11-07 09:53:07.372515906] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-122.txt
[2024-11-07 09:53:07.372561978] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-123.txt
[2024-11-07 09:53:07.372609564] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-124.txt
[2024-11-07 09:53:07.372656249] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-125.txt
[2024-11-07 09:53:07.372703148] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-126.txt
[2024-11-07 09:53:07.372745849] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-127.txt
[2024-11-07 09:53:07.372777613] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-128.txt
[2024-11-07 09:53:07.372806119] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-129.txt
[2024-11-07 09:53:07.372833462] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-130.txt
[2024-11-07 09:53:07.381896253] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-131.txt
[2024-11-07 09:53:07.381962453] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-132.txt
[2024-11-07 09:53:07.382006902] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-133.txt
[2024-11-07 09:53:07.382047789] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-134.txt
[2024-11-07 09:53:07.382106434] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-135.txt
[2024-11-07 09:53:07.382145653] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-136.txt
[2024-11-07 09:53:07.382182245] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-137.txt
[2024-11-07 09:53:07.382211171] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-138.txt
[2024-11-07 09:53:07.382236646] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-139.txt
[2024-11-07 09:53:07.382266130] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-140.txt
[2024-11-07 09:53:07.390032939] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-141.txt
[2024-11-07 09:53:07.390088395] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-142.txt
[2024-11-07 09:53:07.390123971] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-143.txt
[2024-11-07 09:53:07.390156551] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-144.txt
[2024-11-07 09:53:07.390188218] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-145.txt
[2024-11-07 09:53:07.390217835] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-146.txt
[2024-11-07 09:53:07.390243222] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-147.txt
[2024-11-07 09:53:07.390263187] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-148.txt
[2024-11-07 09:53:07.390282909] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-149.txt
[2024-11-07 09:53:07.390302261] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-150.txt
[2024-11-07 09:53:07.396538751] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-151.txt
[2024-11-07 09:53:07.396584073] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-152.txt
[2024-11-07 09:53:07.396604487] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-153.txt
[2024-11-07 09:53:07.396671712] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-154.txt
[2024-11-07 09:53:07.396698039] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-155.txt
[2024-11-07 09:53:07.396720010] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-156.txt
[2024-11-07 09:53:07.396739049] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-157.txt
[2024-11-07 09:53:07.396757228] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-158.txt
[2024-11-07 09:53:07.396775103] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-159.txt
[2024-11-07 09:53:07.396793316] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-160.txt
[2024-11-07 09:53:07.402958165] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-161.txt
[2024-11-07 09:53:07.403005586] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-162.txt
[2024-11-07 09:53:07.403036772] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-163.txt
[2024-11-07 09:53:07.403065911] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-164.txt
[2024-11-07 09:53:07.403093627] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-165.txt
[2024-11-07 09:53:07.403121338] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-166.txt
[2024-11-07 09:53:07.403145478] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-167.txt
[2024-11-07 09:53:07.403165801] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-168.txt
[2024-11-07 09:53:07.403183583] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-169.txt
[2024-11-07 09:53:07.403200934] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-170.txt
[2024-11-07 09:53:07.409086797] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-171.txt
